index	name	abbreviation	color
733	Ventral_posteromedial_nucleus_of_the_thalamus	VPM	#ff6c93
735	Primary_auditory_area_layer_1	AUDp1	#009d72
741	Ventral_posteromedial_nucleus_of_the_thalamus_parvicellular_part	VPMpc	#ff6c94
749	Ventral_tegmental_area	VTA	#ffb2f6
750	Posterolateral_visual_area_layer_1	VISpl1	#00b4cd
753	principal_mammillary_tract	pm	#cccccc
754	Olfactory_tubercle	OT	#a0e0e0
755	Ventral_auditory_area_layer_2/3	AUDv2/3	#29a371
757	Ventral_tegmental_nucleus	VTN	#ffb1fa
759	Posterior_auditory_area_layer_4	AUDpo4	#3daa9e
763	Vascular_organ_of_the_lamina_terminalis	OV	#ff4d58
765	Nucleus_x	x	#ffd4ca
767	Secondary_motor_area_layer_5	MOs5	#659d61
771	Pons	P	#ff9b88
772	Anterior_cingulate_area_ventral_part_layer_5	ACAv5	#9bcf7a
773	Hypoglossal_nucleus	XII	#ffd4c0
774	Retrosplenial_area_lateral_agranular_part_layer_5	RSPagl5	#1f926e
776	corpus_callosum	cc	#cccccc
778	Primary_visual_area_layer_5	VISp5	#3ca3b1
780	Posterior_amygdalar_nucleus	PA	#50ff59
781	Nucleus_y	y	#ffd4cb
783	Agranular_insular_area_dorsal_part_layer_6a	AId6a	#90c381
784	corticospinal_tract	cst	#cccccc
786	Temporal_association_areas_layer_6b	TEa6b	#7cb1a5
788	Piriform-amygdalar_area	PAA	#a0ffa9
791	Posterior_auditory_area_layer_5	AUDpo5	#59b9b0
794	spinal_tract_of_the_trigeminal_nerve	sptV	#cccccc
795	Periaqueductal_gray	PAG	#ff90ff
797	Zona_incerta	ZI	#ff4f57
798	facial_nerve	VIIn	#cccccc
800	Agranular_insular_area_ventral_part_layer_5	AIv5	#81c77c
802	stria_medullaris	sm	#cccccc
803	Pallidum	PAL	#a0c8b0
804	Fields_of_Forel	FF	#ff4f57
805	posteromedial_visual_area_layer_1	VISpm1	#00aeb8
806	Supplemental_somatosensory_area_layer_2/3	SSs2/3	#00b487
810	Anterior_cingulate_area_ventral_part_6a	ACAv6a	#a7d488
814	Dorsal_peduncular_area	DP	#70ff7d
816	Primary_auditory_area_layer_4	AUDp4	#25a47d
819	Anterior_cingulate_area_ventral_part_6b	ACAv6b	#b2d998
821	Primary_visual_area_layer_2/3	VISp2/3	#00949f
827	Infralimbic_area_layer_5	ILA5	#4da06f
830	Dorsomedial_nucleus_of_the_hypothalamus	DMH	#ff4d55
831	Agranular_insular_area_dorsal_part_layer_6b	AId6b	#9cc88f
836	Ectorhinal_area/Layer_1	ECT1	#008c79
838	Primary_somatosensory_area_nose_layer_2/3	SSp-n2/3	#2cb780
839	Dorsal_motor_nucleus_of_the_vagus_nerve	DMX	#ffd4b8
841	trapezoid_body	tb	#cccccc
842	Superior_colliculus_superficial_gray_layer	SCsg	#ff98fa
843	Parasubiculum	PAR	#81ffa0
844	Primary_motor_area_Layer_6a	MOp6a	#78bc82
846	Dentate_nucleus	DN	#f0f052
847	Primary_auditory_area_layer_5	AUDp5	#47b291
848	optic_nerve	IIn	#cccccc
849	Visceral_area_layer_6b	VISC6b	#75bd98
851	Superior_colliculus_optic_layer	SCop	#ff98fa
852	Parvicellular_reticular_nucleus	PARN	#ffd4c4
854	Primary_somatosensory_area_upper_limb_layer_2/3	SSp-ul2/3	#2eb778
857	Visceral_area_layer_6a	VISC6a	#6cba90
859	Parasolitary_nucleus	PAS	#ffd4c5
862	Supplemental_somatosensory_area_layer_6a	SSs6a	#62c4aa
863	rubrospinal_tract	rust	#cccccc
867	Parabrachial_nucleus	PB	#ffaa60
869	Posterolateral_visual_area_layer_4	VISpl4	#00b5df
872	Dorsal_nucleus_raph	DR	#ff9efc
873	Supplemental_somatosensory_area_layer_1	SSs1	#00b081
874	Parabigeminal_nucleus	PBG	#ff98fc
877	tectospinal_pathway	tsp	#cccccc
878	Primary_somatosensory_area_mouth_layer_1	SSp-m1	#00ad5e
880	Dorsal_tegmental_nucleus	DTN	#ffae57
882	Primary_motor_area_Layer_6b	MOp6b	#8fc48f
884	amygdalar_capsule	amc	#cccccc
888	Perirhinal_area_layer_2/3	PERI2/3	#00928b
889	Primary_somatosensory_area_nose_layer_6a	SSp-n6a	#7bcaaa
893	Supplemental_somatosensory_area_layer_6b	SSs6b	#79cab3
897	Visceral_area_layer_1	VISC1	#009b5b
898	Pontine_central_gray	PCG	#ffae78
900	anterior_commissure_olfactory_limb	aco	#cccccc
902	Posterolateral_visual_area_layer_5	VISpl5	#02bed7
903	External_cuneate_nucleus	ECU	#ffb0b3
905	Anterolateral_visual_area_layer_2/3	VISal2/3	#00a1bd
906	Retrosplenial_area_lateral_agranular_part_layer_6a	RSPagl6a	#3fa081
907	Paracentral_nucleus	PCN	#ff8484
908	anterior_commissure_temporal_limb	act	#cccccc
910	Orbital_area_medial_part_layer_6a	ORBm6a	#a1ba7f
911	trochlear_nerve	IVn	#cccccc
912	Lingula_(I)	LING	#f0f280
914	Posterodorsal_preoptic_nucleus	PD	#ff4d59
918	Entorhinal_area_lateral_part	ENTl	#80ff91
919	Anterior_cingulate_area_dorsal_part_layer_6a	ACAd6a	#9dc780
920	Central_lobule	CENT	#f0f280
924	cerebal_peduncle	cpd	#cccccc
926	Entorhinal_area_medial_part_dorsal_zone	ENTm	#80ff92
927	Anterior_cingulate_area_dorsal_part_layer_6b	ACAd6b	#a8cb8e
928	Culmen	CUL	#f0f280
929	Primary_somatosensory_area_nose_layer_6b	SSp-n6b	#87ceb3
930	Parafascicular_nucleus	PF	#ff8284
931	Pontine_gray	PG	#ffae5c
934	Entorhinal_area_medial_part_ventral_zone	ENTmv	#80ff93
935	Anterior_cingulate_area_dorsal_part_layer_1	ACAd1	#60aa4b
936	Declive_(VI)	DEC	#f0f280
939	Nucleus_ambiguus_dorsal_division	AMBd	#ffd4d8
940	cingulum_bundle	cing	#cccccc
943	Primary_motor_area_Layer_2/3	MOp2/3	#49a663
944	Folium-tuber_vermis_(VII)	FOTU	#f0f280
945	Primary_somatosensory_area_upper_limb_layer_6a	SSp-ul6a	#72c69a
946	Posterior_hypothalamic_nucleus	PH	#ff4f53
949	vomeronasal_nerve	von	#cccccc
950	Primary_somatosensory_area_mouth_layer_4	SSp-m4	#42b978
951	Pyramus_(VIII)	PYR	#f0f280
952	Endopiriform_nucleus_dorsal_part	EPd	#51ff57
954	Primary_auditory_area_layer_6a	AUDp6a	#5db8a0
957	Uvula_(IX)	UVU	#f0f280
959	Ventral_auditory_area_layer_1	AUDv1	#009c66
961	Piriform_area	PIR	#a0ffa7
962	Secondary_motor_area_layer_2/3	MOs2/3	#539856
965	Retrosplenial_area_lateral_agranular_part_layer_2/3	RSPagl2/3	#008e69
966	Endopiriform_nucleus_ventral_part	EPv	#52ff57
968	Nodulus_(X)	NOD	#f0f280
969	Orbital_area_ventrolateral_part_layer_1	ORBvl1	#008c47
970	Paragigantocellular_reticular_nucleus_dorsal_part	PGRNd	#ffd4c6
973	Lateral_visual_area_layer_2/3	VISl23	#009fa5
974	Primary_somatosensory_area_mouth_layer_5	SSp-m5	#5cbf85
975	Edinger-Westphal_nucleus	EW	#ffb2fd
977	Ectorhinal_area/Layer_6a	ECT6a	#50a59c
